timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1517145103788950,-2,0,-13,-9,-1,0,0,-3
1517145103788950,-2,-13,1,-1,-3,-2,-1,-1
1517145103789951,-1,4,2,1,-2,-1,-1,2
1517145103789951,-2,-7,-4,3,-1,0,-2,-2
1517145103790951,-3,0,9,9,-1,-1,-1,0
1517145103790951,0,-3,-2,-11,-1,0,-2,0
1517145103791952,-1,0,-5,-11,0,0,-2,-2
1517145103791952,-1,-9,-7,-4,-2,-2,1,-2
1517145103798957,0,10,1,11,1,-2,0,-2
1517145103798957,-1,1,3,6,2,1,0,-2
1517145103807964,-4,-4,-4,-7,-5,-3,-2,0
1517145103807964,-1,-8,-3,1,1,0,-1,0
1517145103820972,2,11,4,-5,-1,-2,-3,1
1517145103820972,-3,0,1,5,1,0,-1,-2
1517145103828978,0,4,-2,8,3,1,0,-3
1517145103828978,-2,2,0,-4,-1,0,-1,-2
1517145103834982,-3,-10,-5,-7,-5,-2,-1,-4
1517145103834982,-2,2,-1,-1,-4,-1,1,4
1517145103861001,0,-2,-3,-6,0,-1,-1,-3
1517145103861001,0,6,2,6,0,-2,-1,1
1517145103866004,-3,-11,-2,-4,-1,0,0,-1
1517145103866004,0,9,4,-6,-3,-4,0,-1
1517145103899028,-2,-4,-16,-6,-3,0,-4,-6
1517145103899028,-2,-5,3,0,-1,-2,-2,-1
1517145103900028,0,-2,-10,0,1,0,-1,1
1517145103900028,-2,9,-6,-1,1,-1,-1,-7
1517145103904031,-1,16,-3,-2,1,0,0,13
1517145103904031,0,0,11,0,-1,-2,-2,-6
1517145103905032,-1,-9,-1,-3,-3,-2,-2,-2
1517145103905032,0,3,9,2,-3,-1,-1,2
1517145103910036,1,2,-12,-2,-2,-1,-1,0
1517145103910036,0,-2,-17,-1,1,1,1,0
1517145103918041,-2,2,27,2,-2,-1,0,6
1517145103918041,-3,-2,-2,-3,1,-1,-3,0
1517145103926055,2,-8,-3,0,0,1,0,-4
1517145103926055,1,0,-8,0,-1,0,-3,-2
1517145103941058,1,-3,0,2,-2,-2,-1,-4
1517145103941058,-3,-2,-13,-4,-3,-1,-2,-2
1517145103947061,0,-3,12,4,0,-2,0,1
1517145103947061,-2,3,-2,3,1,1,0,1
1517145103971079,2,-4,-2,0,-1,-1,-2,-3
1517145103971079,2,-3,7,-3,-4,-2,0,1
1517145103973081,-3,-8,-5,-1,2,1,0,-2
1517145103973081,-2,-1,3,-2,-4,-5,-1,-3
1517145103985089,-1,-1,-8,-1,-2,-2,0,2
1517145103985089,0,-5,-6,1,-2,1,-1,0
1517145103994095,-2,-3,0,-5,-2,-2,-1,-3
1517145103994095,-2,1,-1,-2,-3,0,-2,1
1517145104009107,0,3,-4,-4,1,-1,0,1
1517145104009107,-1,-17,-11,0,1,0,-2,-2
1517145104010107,-1,24,12,0,-3,-3,-2,-5
1517145104010107,-1,-6,7,-2,0,1,0,-5
1517145104032122,-1,2,-14,-6,-2,-2,0,1
1517145104032122,0,-3,5,0,0,-3,0,0
1517145104034124,-1,-1,17,6,-2,-2,-3,0
1517145104034124,1,-2,-12,1,3,1,2,-1
1517145104045131,-2,6,12,-1,-1,1,-2,-3
1517145104045131,0,2,-18,-3,-2,-2,1,2
1517145104054138,0,-7,7,1,0,-2,-1,-7
1517145104054138,-1,4,3,-5,-4,-1,0,3
1517145104069148,-2,-1,-1,1,1,-1,-1,-2
1517145104069148,0,4,6,0,0,-1,-2,0
1517145104070149,1,4,6,1,-1,-2,0,-1
1517145104070149,-2,-10,-9,-2,-2,-2,-2,2
1517145104091164,-2,-3,-14,-7,-4,0,0,-3
1517145104091164,-1,4,14,0,1,-1,-1,0
1517145104093165,0,-13,-6,-10,0,1,-2,0
1517145104093165,-3,4,-11,2,-3,-4,-1,2
1517145104105174,-1,-18,-5,-1,-1,0,-2,-3
1517145104105174,1,4,-1,3,0,-2,-1,-2
1517145104114180,-2,-5,-11,2,-2,-1,1,1
1517145104114180,2,-4,19,1,2,-1,-3,-3
1517145104129191,-2,1,-10,-2,-1,-1,-2,-2
1517145104129191,-1,-9,2,-1,-2,-1,-2,-1
1517145104130192,-2,0,4,0,-3,-1,-2,0
1517145104130192,1,2,1,0,-1,-1,1,0
1517145104152207,-1,4,3,0,0,-1,1,-2
1517145104152207,-2,-1,-4,-1,2,1,0,-2
1517145104157210,-2,-5,-11,-2,-3,-2,0,0
1517145104157210,0,4,25,4,-1,-1,-1,-1
1517145104165217,0,-5,-20,2,-1,1,0,-3
1517145104165217,-1,4,6,-11,-1,-3,-4,-2
1517145104174224,0,-14,1,-3,0,-1,-1,-3
1517145104174224,-2,8,-20,-6,-3,-1,-2,-1
1517145104196238,0,2,3,5,1,-3,-1,1
1517145104196238,-2,-3,3,10,-1,-1,-1,-2
1517145104198241,-1,-1,-10,-12,-3,-1,-1,0
1517145104198241,0,-14,10,-1,-2,-2,0,-2
1517145104212256,-2,1,5,-3,0,-1,-3,0
1517145104212256,0,11,-7,-2,-4,-2,0,-1
1517145104213255,-1,-11,7,5,2,0,-1,0
1517145104213255,-1,16,-8,0,-1,1,-1,-2
1517145104225260,-2,-7,-13,-4,-4,-2,-1,-2
1517145104225260,-1,-1,12,2,-1,-2,0,-2
