timestamp,x,y,z
1517145044885895,-10.8125,-70.25,-57.5
1517145044892898,-10.5,-106.75,-68.75
1517145044915931,-16.25,-104.563,-61.75
1517145044930945,85.375,27.8125,-131
1517145044952959,97.3125,-38.1875,-96.625
1517145044975957,2.625,-10.75,-21.0625
1517145044990968,-65.75,49.0625,-70.8125
1517145045020991,-112,-158.625,46.625
1517145045035028,-9.0625,-278.688,153.625
1517145045050026,-64.875,-131,110.438
1517145045073043,18.1875,10.5625,-91
1517145045103064,20.625,-16.125,0.3125
1517145045110053,-43.25,18.5625,-2.625
1517145045133086,-63.875,-37.625,-18.875
1517145045155101,-143.75,-40.9375,9.75
1517145045171113,-144.063,-100.438,26.1875
1517145045193112,-187.938,-88.75,13.0625
1517145045215126,-193.625,-176.063,-74.375
1517145045230157,-104.313,-262,-223.625
1517145045253174,-117,-77.375,-203.5
1517145045275181,-34.3125,20.9375,-88.875
1517145045290180,-21.5625,20.75,-97
1517145045313196,20.125,-65.625,-47.5
1517145045335214,8,-83.5625,39.6875
1517145045350223,-13.6875,-64.875,85.875
1517145045373239,29.125,-19.1875,121.875
1517145045395255,74,15.5625,140.25
1517145045410265,11.9375,-6.4375,53.9375
1517145045433282,56,-106.5,-45.9375
1517145045455336,-40.9375,-176.25,-112.625
1517145045471332,69.75,-69.4375,11
1517145045493326,-108.938,-22.6875,1.125
1517145045515364,121.438,-39.4375,38.25
1517145045530374,-31.5,73.1875,26.8125
1517145045553396,16.875,134.25,36.4375
1517145045575384,80.4375,124.75,66.5625
1517145045590422,132.625,131.938,126.688
1517145045613409,103.188,91.875,198.25
1517145045643431,-20.0625,2.25,204.188
1517145045650457,-35.375,126.75,77.5625
1517145045673452,139.125,270.063,86.5625
1517145045695496,105.313,75,96
1517145045710496,107.438,30.0625,189.125
1517145045733496,128.938,-84.3125,346.875
1517145045755535,149.688,-217.438,457.625
1517145045770526,66.75,-299.063,396.188
1517145045792536,84.375,-247.875,527.938
1517145045815570,24.75,-223.125,347.125
1517145045830563,67.6875,-133,400.25
1517145045852599,65.5625,-141.375,314.75
1517145045875595,108.188,-63.75,269.188
1517145045890626,169.25,102.438,219.25
1517145045912623,352.75,213.938,314.438
1517145045935639,199.438,280.875,408.375
1517145045950650,174.5,251,366.5
1517145045972663,263.125,200,268.75
1517145045995697,168.938,101.25,195.063
1517145046010708,-99.75,39,52.625
1517145046032721,-72.0625,91.5,79.3125
1517145046062745,14,21.125,102.063
1517145046070734,161.5,-42.5,243.438
1517145046092749,317.375,39.8125,337.313
1517145046115800,236.625,140.438,359.875
1517145046130790,226.875,213.5,381.125
1517145046152809,88,128.063,319.438
1517145046175808,132.938,18.3125,237.938
1517145046197842,22.25,-54.6875,131.375
1517145046212852,-11.4375,-56.375,43.375
1517145046235867,-16.625,-68.625,-18
1517145046250878,-15.0625,67.125,94.3125
1517145046272894,50.3125,48,44.6875
1517145046302915,143.125,105.688,79.5
1517145046310933,132.938,137.938,28.9375
1517145046332936,69.5,96.1875,35.5625
1517145046355947,117.5,279.313,75.5
1517145046370951,29.375,82.125,54.125
1517145046392962,-118.125,153.313,107.25
1517145046415979,-181.563,-17.1875,60.1875
1517145046430991,-54.625,-101.313,73.125
1517145046453022,-110.25,-130.188,26.1875
1517145046476023,-142.438,-73.75,-8.875
1517145046491035,-57,-45.0625,43.25
1517145046513049,-66.375,-66.4375,22.625
1517145046535063,-42.9375,-50.375,-1.3125
1517145046558096,-44.0625,-33.1875,-22.5625
1517145046580115,0.6875,35.6875,-43.0625
1517145046595106,-25.4375,88.1875,-125.375
1517145046610118,-62.9375,242.063,45.625
1517145046633219,52.8125,110.125,-5.3125
1517145046655238,-40.3125,84.125,-77.6875
1517145046670249,11.0625,-325.938,18.0625
1517145046693250,-114.563,-328.063,152.188
1517145046715272,-100.875,-127.875,20.8125
1517145046730292,-158.25,-123.125,-37.25
1517145046753308,-297.188,259.188,-5
1517145046775307,-219.188,486.938,-234.688
1517145046790346,-49.625,348.875,154.375
1517145046813364,67.4375,55.1875,186.938
1517145046835380,33.25,-62.625,-121.188
1517145046850364,17.875,-36.6875,-27.875
1517145046873378,42.375,-21.5,18.1875
1517145046895409,39.5625,-14.875,33.25
1517145046910403,29.75,-30.5625,70.1875
1517145046932419,55.9375,-3.0625,60.9375
1517145046955451,33.8125,-50.5,79.625
1517145046970462,-1.625,-8.4375,82.125
1517145046992461,24.1875,145.875,19.625
1517145047015494,51.5,110.25,-34.1875
1517145047030504,16.3125,2.625,-61.1875
1517145047052520,45.375,-15.5,-88
1517145047075519,132.188,28.8125,-155.375
1517145047090547,73.5625,98.8125,-51.375
1517145047112563,60.5,-192.625,-39.8125
1517145047135582,48.125,-348.688,-116
1517145047150590,-177,233.563,-45.0625
1517145047172604,1.5,341.438,-238.438
1517145047195622,-166,1093.06,-21.3125
1517145047210629,16.875,-636.063,56.625
1517145047232637,-75.0625,-305.5,-202.938
1517145047255671,45.3125,-152.438,-40
1517145047270681,260.438,-78.25,149.188
1517145047292675,108.75,-77.6875,-18.875
1517145047315714,-6.8125,-65.5625,-33.375
1517145047330724,-25.0625,-34.5,30.375
1517145047352740,-78.125,-42.125,-7.125
1517145047375734,6.5,-27.75,-114.25
1517145047390745,176.125,-37.5,33.125
1517145047412776,-1.875,-75,114.563
1517145047435792,-21.5625,-101.813,95.5
1517145047450803,44.625,-67.0625,51.875
1517145047472822,11.25,-75.5625,-47.9375
1517145047495835,65.5,-102,-21.8125
1517145047517852,77.6875,-106.625,-20.3125
1517145047540851,30.4375,-85.8125,-13.5
1517145047562882,52.0625,-76.9375,-26.9375
1517145047585884,76.8125,-81.25,-70.4375
1517145047600895,65.875,-59.1875,-56.9375
1517145047622924,56.0625,-46.875,-35.8125
1517145047645943,34.4375,-47.1875,-35.8125
1517145047667957,22.25,-41.625,-40.4375
1517145047690973,-93.75,-12,-28.125
1517145047691957,-103.813,-8.1875,-25.0625
1517145047712971,-69.5,5.6875,-25.5
1517145047735004,-33.1875,-3.9375,-98
1517145047758020,-55.75,-0.4375,-76.6875
1517145047780036,-45.875,-10.8125,3.1875
1517145047795047,10.75,-13.0625,5.3125
1517145047810042,85.75,-18.9375,-44.6875
1517145047833059,183.063,-38.375,-66.4375
1517145047855089,198.313,-49.875,-40.8125
