timestamp,x,y,z,w
1517145315454060,0.154663,-0.0504761,0.927856,-0.33551
1517145315461064,0.154907,-0.0505981,0.927795,-0.33551
1517145315484081,0.154846,-0.0505981,0.927795,-0.33551
1517145315499092,0.154541,-0.0506592,0.927856,-0.33551
1517145315523109,0.154358,-0.0509033,0.927856,-0.335571
1517145315544124,0.154114,-0.0509033,0.927917,-0.335571
1517145315559134,0.153992,-0.0510254,0.927979,-0.335449
1517145315584152,0.153931,-0.0513306,0.927979,-0.335327
1517145315614173,0.154114,-0.0517578,0.92804,-0.335083
1517145315622179,0.154236,-0.052002,0.928101,-0.3349
1517145315635188,0.154297,-0.0521851,0.928101,-0.334717
1517145315659205,0.154358,-0.0522461,0.928162,-0.334595
1517145315688225,0.154358,-0.0522461,0.928162,-0.334595
1517145315698232,0.154114,-0.0521851,0.928223,-0.334473
1517145315748268,0.153809,-0.0521851,0.928284,-0.334473
1517145315749271,0.153564,-0.052124,0.928345,-0.334473
1517145315758278,0.153381,-0.0522461,0.928345,-0.334473
1517145315777296,0.153259,-0.0521851,0.928406,-0.334351
1517145315793308,0.153259,-0.0523682,0.928406,-0.33429
1517145315823322,0.153381,-0.0524902,0.928467,-0.334167
1517145315844336,0.153564,-0.0526733,0.928467,-0.334045
1517145315867353,0.153564,-0.0526123,0.928467,-0.334045
1517145315884366,0.153564,-0.0526123,0.928467,-0.334045
1517145315904380,0.153625,-0.0525513,0.928467,-0.334045
1517145315927395,0.153442,-0.0525513,0.928528,-0.333984
1517145315943406,0.153259,-0.0526733,0.928528,-0.333984
1517145315964421,0.152954,-0.0526123,0.928589,-0.333984
1517145315980433,0.152588,-0.0526123,0.92865,-0.333984
1517145316003449,0.152405,-0.0527344,0.928711,-0.333862
1517145316032470,0.152344,-0.0528564,0.928711,-0.333801
1517145316046481,0.152222,-0.0529785,0.928772,-0.333679
1517145316063492,0.152283,-0.0530396,0.928772,-0.333557
1517145316084506,0.152283,-0.0530396,0.928772,-0.333557
1517145316100518,0.152344,-0.0530396,0.928772,-0.333557
1517145316123535,0.152344,-0.0530396,0.928772,-0.333557
1517145316144549,0.152405,-0.0530396,0.928772,-0.333557
1517145316160561,0.152283,-0.0529175,0.928772,-0.333618
1517145316183577,0.1521,-0.0528564,0.928833,-0.333496
1517145316204592,0.151978,-0.0530396,0.928894,-0.333374
1517145316220603,0.151978,-0.0532837,0.928955,-0.333313
1517145316243620,0.151978,-0.0532227,0.928955,-0.333252
1517145316265635,0.151978,-0.0532227,0.928955,-0.333252
1517145316286650,0.151917,-0.0532837,0.929016,-0.33313
1517145316309666,0.151733,-0.0534668,0.929016,-0.33313
1517145316326679,0.15155,-0.0534668,0.929077,-0.33313
1517145316340689,0.151428,-0.0532227,0.929077,-0.333191
1517145316363705,0.151367,-0.0531616,0.929077,-0.333252
1517145316385720,0.151367,-0.0531616,0.929077,-0.333252
1517145316401732,0.151428,-0.0531006,0.929077,-0.333252
1517145316423748,0.151489,-0.0531616,0.929077,-0.33313
1517145316445763,0.151611,-0.0533447,0.929077,-0.33313
1517145316459773,0.151611,-0.0532837,0.929077,-0.33313
1517145316483791,0.151672,-0.0532227,0.929077,-0.33313
1517145316505805,0.151489,-0.0533447,0.929077,-0.333069
1517145316519815,0.151367,-0.0535889,0.929077,-0.333069
1517145316543832,0.151184,-0.0537109,0.929138,-0.333069
1517145316565849,0.151062,-0.053772,0.929138,-0.333069
1517145316586864,0.15094,-0.053833,0.929199,-0.333008
1517145316603875,0.150879,-0.0539551,0.929199,-0.332886
1517145316626893,0.151001,-0.0541992,0.92926,-0.332764
1517145316639900,0.151062,-0.0541992,0.92926,-0.332764
1517145316662917,0.151062,-0.0541382,0.92926,-0.332764
1517145316692945,0.151062,-0.0540771,0.92926,-0.332764
1517145316701946,0.151062,-0.0540771,0.92926,-0.332764
1517145316728964,0.151123,-0.0540771,0.92926,-0.332703
1517145316745976,0.15094,-0.0540161,0.92926,-0.332703
1517145316767992,0.150696,-0.0540771,0.929321,-0.332764
1517145316797013,0.150635,-0.0539551,0.929321,-0.332764
1517145316812023,0.150513,-0.053894,0.929321,-0.332764
1517145316828042,0.150635,-0.053894,0.929321,-0.332764
1517145316851051,0.15094,-0.0539551,0.929321,-0.332703
1517145316866061,0.151123,-0.0539551,0.92926,-0.332703
1517145316888076,0.151184,-0.0539551,0.92926,-0.332703
1517145316911096,0.151184,-0.0539551,0.92926,-0.332642
1517145316916151,0.151062,-0.053894,0.92926,-0.332642
1517145316933144,0.151001,-0.053894,0.929321,-0.332642
1517145316954177,0.15094,-0.0537109,0.929321,-0.332703
1517145316984204,0.15094,-0.0537109,0.929321,-0.332703
1517145316993154,0.151001,-0.0537109,0.929321,-0.332703
1517145317014169,0.151306,-0.053833,0.92926,-0.332703
1517145317039186,0.151672,-0.0539551,0.929199,-0.332642
1517145317053198,0.151978,-0.0540771,0.929138,-0.33252
1517145317074262,0.152222,-0.0540771,0.929138,-0.332458
1517145317096278,0.152283,-0.0540161,0.929138,-0.332458
1517145317113236,0.152283,-0.0539551,0.929138,-0.332458
